hour,demand,gas_price,electricity_price,wind_generation,solar_generation,gas_generation,total_generation,marginal_generator,shortfall
55,26339.0,94,91.63925714285716,8297.675728634864,1063.4860885369956,16977.838182828138,26339.0,gas1,0.0
56,27901.0,90,87.73971428571431,8493.088055903338,1938.4003979299034,17469.51154616676,27901.0,gas1,0.0
57,28688.0,90,87.73971428571431,8481.747100462488,3147.701296863911,17058.551602673604,28688.000000000004,gas1,-3.637978807091713e-12
58,28350.5,90,76.77225,10744.729851763861,4183.316385307322,13422.453762928817,28350.5,gas2,0.0
59,28191.5,91,69.00024444444445,13177.354162270021,5173.167131581366,9840.97870614861,28191.499999999996,gas3,3.637978807091713e-12
60,28022.0,95,64.82990000000001,14539.897105636424,6546.495334938187,6935.607559425389,28022.0,gas4,0.0
61,27923.0,94,64.14748,14214.809378983826,6734.29784148728,6973.892779528895,27923.0,gas4,0.0
62,27811.5,90,61.41780000000001,14070.482819417317,6511.390285331901,7229.626895250778,27811.499999999996,gas4,3.637978807091713e-12
63,28150.5,93,70.51673333333333,13463.934664232544,5084.248704121139,9602.316631646314,28150.499999999996,gas3,3.637978807091713e-12
64,28851.5,96,72.79146666666668,12165.582600969425,4930.0166120468275,11755.900786983748,28851.5,gas3,0.0
65,29791.0,96,93.58902857142859,10950.300638142875,3561.244211143835,15279.455150713293,29791.000000000004,gas1,-3.637978807091713e-12
66,29873.5,92,89.68948571428572,10903.092980580866,3353.044571898932,15617.362447520201,29873.5,gas1,0.0
67,29577.5,92,78.4783,11330.45783010937,3389.4776367000663,14857.564533190565,29577.5,gas2,0.0
68,29324.0,88,85.78994285714288,11481.904816308006,2365.4111880332175,15476.683995658776,29324.0,gas1,0.0
69,28034.0,86,83.84017142857145,11781.457166946255,1200.424198809932,15052.118634243816,28034.000000000004,gas1,-3.637978807091713e-12
70,25816.0,89,75.919225,12381.75685305498,114.48354744125427,13319.759599503763,25815.999999999996,gas2,3.637978807091713e-12
71,23226.0,86,65.20902222222223,14550.464711542445,0.0023060252806526215,8675.532982432276,23226.0,gas3,0.0
72,21678.5,87,53.97321818181818,17440.176987036197,0.0,4238.323012963803,21678.5,gas5,0.0
73,20971.5,89,55.21398181818182,17689.556947606536,0.0,3281.9430523934643,20971.5,gas5,0.0
74,20206.5,89,55.21398181818182,17865.5949579744,0.0,2340.905042025599,20206.5,gas5,0.0
75,19856.5,92,57.07512727272728,18076.22605807896,0.0,1780.2739419210411,19856.5,gas5,0.0
76,19536.0,90,55.83436363636364,17651.986273273462,0.0,1884.0137267265382,19536.0,gas5,0.0
77,20243.5,86,53.352836363636364,16944.328587028398,19.52532149582785,3279.64609147577,20243.499999999996,gas5,3.637978807091713e-12
78,22823.5,83,56.64086,16427.978029717437,1038.5861037037803,5356.935866578788,22823.500000000004,gas4,-3.637978807091713e-12
79,25613.0,84,57.323280000000004,16032.187924354646,3901.418428095183,5679.393647550176,25613.000000000007,gas4,-7.275957614183426e-12
80,26138.5,86,53.352836363636364,15683.808942968888,6997.863040233465,3456.8280167976554,26138.500000000007,gas5,-7.275957614183426e-12
81,25651.5,83,0.0,15360.207401711916,10291.292598288086,0.0,25651.5,solar10,0.0
82,25117.5,82,0.0,15322.04271635778,9795.457283642218,0.0,25117.5,solar9,0.0
83,24488.0,86,0.0,15736.72372598776,8751.276274012242,0.0,24488.0,solar8,0.0
84,24169.0,82,0.0,15939.389314335982,8229.610685664018,0.0,24169.0,solar7,0.0
85,23745.0,86,0.0,15708.559960906696,8036.440039093304,0.0,23745.0,solar7,0.0
86,23329.5,88,0.0,15883.214936036704,7446.2850639633,0.0,23329.500000000004,solar6,-3.637978807091713e-12
87,24048.0,92,0.0,15975.46016700724,8072.53983299276,0.0,24048.0,solar7,0.0
88,25832.5,95,0.0,15715.537491596773,10116.962508403227,0.0,25832.5,solar10,0.0
89,28021.5,92,57.07512727272728,14876.931213930955,10435.106469001648,2709.462317067395,28021.5,gas5,0.0
90,29318.5,88,60.052960000000006,14225.743171468832,8647.11004525842,6445.646783272747,29318.499999999996,gas4,3.637978807091713e-12
91,29408.0,87,65.96726666666667,13913.85284073688,5654.644972141771,9839.50218712135,29408.0,gas3,0.0
92,28544.5,88,66.72551111111112,13826.813089917468,2862.8508256814825,11854.83608440105,28544.5,gas3,0.0
93,27608.0,87,74.21317499999999,13527.86893903341,1344.3890970525918,12735.741963913999,27608.0,gas2,0.0
94,25986.0,85,72.507125,12861.127624563818,130.7954213721198,12994.076954064061,25986.0,gas2,0.0
95,23341.0,84,63.69253333333334,12156.922553833776,0.0018448202245212424,11184.075601345998,23341.0,gas3,0.0
96,21513.0,86,65.20902222222223,12024.754849085177,0.0,9488.245150914823,21513.0,gas3,0.0
97,20893.0,84,57.323280000000004,12408.58486326859,0.0,8484.415136731412,20893.0,gas4,0.0
98,20181.5,84,57.323280000000004,13040.84267871366,0.0,7140.65732128634,20181.5,gas4,0.0
99,19752.5,86,58.688120000000005,13482.49937363946,0.0,6270.000626360539,19752.5,gas4,0.0
100,19281.5,90,61.41780000000001,13517.055486583275,0.0,5764.444513416725,19281.5,gas4,0.0
101,19834.5,89,60.735380000000006,13777.337651906373,15.734473709704064,6041.427874383924,19834.5,gas4,0.0
102,22792.5,91,62.10022000000001,13791.296566985659,613.1258909419371,8388.077542072406,22792.5,gas4,0.0
103,26429.5,93,70.51673333333333,13538.285193459842,1830.6258126782454,11060.588993861911,26429.5,gas3,0.0
104,27940.0,97,73.54971111111112,13185.982779019703,3611.745464827286,11142.271756153012,27940.0,gas3,0.0
105,27818.5,96,72.79146666666668,12645.56990896631,4772.579878390774,10400.350212642916,27818.5,gas3,0.0
106,26909.5,96,65.51232,12081.63373770041,6490.298496187298,8337.56776611229,26909.499999999996,gas4,3.637978807091713e-12
107,25989.5,92,62.78264,10505.84957011736,7265.856157425444,8217.794272457199,25989.5,gas4,0.0
108,25347.5,89,60.735380000000006,9701.384504098,9116.37696684872,6529.73852905328,25347.5,gas4,0.0
109,24489.0,86,58.688120000000005,8550.212544392853,10524.935372713702,5413.852082893445,24489.0,gas4,0.0
110,24316.5,82,55.95844,6476.058093628947,12596.944458259757,5243.497448111295,24316.5,gas4,0.0
111,25018.5,81,55.27602000000001,4410.328996261598,12997.567104318661,7610.603899419741,25018.5,gas4,0.0
112,26778.0,83,62.934288888888894,3654.3039152320152,11856.737779948024,11266.95830481996,26778.0,gas3,0.0
113,28527.5,81,78.96574285714287,3041.8148888339647,10172.610423330842,15313.074687835193,28527.5,gas1,0.0
114,29266.0,78,76.04108571428573,2239.7965579688466,7370.23454225499,17500.0,27110.031100223838,gas1,2155.9688997761623
115,28885.0,78,76.04108571428573,2439.0290371528067,4252.318200481981,17500.0,24191.347237634785,gas1,4693.652762365215
116,28133.0,81,78.96574285714287,3560.5910366328935,1511.5844031025706,17500.0,22572.175439735463,gas1,5560.824560264537
117,26658.5,84,81.89040000000001,3063.458233762969,533.4953872376336,17500.0,21096.953621000604,gas1,5561.5463789993955
118,25502.5,87,84.81505714285717,2992.075224525128,64.58730833022588,17500.0,20556.662532855353,gas1,4945.837467144647
119,23131.5,85,82.86528571428573,2923.508517277679,0.0004612050561313755,17500.0,20423.508978482736,gas1,2707.991021517264
120,21414.5,88,85.78994285714288,2542.767117601516,0.0,17500.0,20042.767117601517,gas1,1371.7328823984826
121,20580.5,90,87.73971428571431,2263.005308782109,0.0,17500.0,19763.005308782107,gas1,817.494691217893
122,19895.0,93,90.66437142857144,1633.682528448562,0.0,17500.0,19133.68252844856,gas1,761.3174715514397
123,19191.5,95,92.61414285714287,941.2360785404834,0.0,17500.0,18441.23607854048,gas1,750.2639214595183
124,18788.5,92,89.68948571428572,696.7927228239364,0.0,17500.0,18196.792722823935,gas1,591.707277176065
125,18618.0,89,86.7648285714286,744.7616853684882,12.477714924276825,17500.0,18257.239400292765,gas1,360.7605997072351
126,19459.0,85,82.86528571428573,984.0763765184537,569.8272024275066,17500.0,19053.90357894596,gas1,405.09642105404055
127,20970.5,86,83.84017142857145,1120.0159839807495,1695.446124189858,17500.0,20315.462108170606,gas1,655.0378918293936
128,22623.5,84,81.89040000000001,1091.6026244662526,4027.5397637737574,17500.0,22619.142388240012,gas1,4.357611759987776
129,23682.0,84,81.89040000000001,939.270007368357,6215.349161707755,16527.38083092389,23682.0,gas1,0.0
